Country,Scheme/Subsidy,Specific Source
USA,"Investment Tax Credit (ITC), Production Tax Credit (PTC)","Solar, Wind"
Canada,EcoENERGY for Renewable Power Program,"Wind, Biomass, Solar, Hydro"
UK,"Renewable Heat Incentive (RHI), Contracts for Difference (CfD)","Solar, Wind, Biomass, Heat pumps"
Germany,"Renewable Energy Sources Act (EEG), KfW Renewable Energy Program","Solar, Wind, Biomass, Hydro"
Australia,"Small-scale Renewable Energy Scheme (SRES), Large-scale Renewable Energy Target (LRET)","Solar, Wind"
France,"Feed-in Tariffs, Energy Transition for Green Growth","Solar, Wind, Biomass, Hydro"
India,"Jawaharlal Nehru National Solar Mission (JNNSM), Generation Based Incentives (GBI)","Solar, Wind"
China,"Feed-in Tariffs, Renewable Portfolio Standard","Solar, Wind, Biomass, Hydro"
Japan,"Feed-in Tariffs, Renewable Energy Special Measures Act","Solar, Wind, Biomass, Geothermal"
Brazil,Proinfa (Program of Incentives for Alternative Electricity Sources),"Wind, Biomass, Small Hydro"
Russia,Renewable Energy Development Program,"Wind, Solar, Small Hydro"
South Africa,Renewable Energy Independent Power Producer Procurement Program (REIPPPP),"Solar, Wind, Biomass, Hydro"
Italy,"Conto Energia, Feed-in Tariffs","Solar, Wind, Biomass, Hydro"
Mexico,Long-term Auctions for Clean Energy Certificates,"Solar, Wind, Geothermal"
South Korea,Renewable Portfolio Standards (RPS),"Solar, Wind, Biomass, Hydro"
Spain,Renewable Energy Plan,"Solar, Wind, Biomass, Hydro"
Indonesia,"Feed-in Tariffs, Geothermal Energy Development","Geothermal, Solar, Wind"
Turkey,YEKDEM (Renewable Energy Resources Support Mechanism),"Solar, Wind, Biomass, Hydro"
Saudi Arabia,Saudi Renewable Energy Initiative,"Solar, Wind"
Netherlands,SDE+ (Stimulation of Sustainable Energy Production),"Solar, Wind, Biomass, Geothermal"
Sweden,Electricity Certificate System,"Wind, Biomass, Hydro"
Switzerland,"Feed-in Tariffs, SwissEnergy Program","Solar, Wind, Biomass, Hydro"
Argentina,RenovAR Program,"Wind, Solar, Biomass, Hydro"
Belgium,"Green Certificates, Feed-in Tariffs","Solar, Wind, Biomass"
Norway,Electricity Certificate Scheme,"Wind, Hydro"
Poland,Auction System for Renewables,"Wind, Solar, Biomass, Hydro"
Thailand,"Adder Program, Feed-in Tariffs","Solar, Wind, Biomass, Hydro"
Vietnam,Feed-in Tariffs,"Solar, Wind, Biomass"
Egypt,"Feed-in Tariffs, Renewable Energy Feed-in Tariff (RE-FIT)","Solar, Wind"
Chile,Non-Conventional Renewable Energy Law,"Solar, Wind, Biomass, Geothermal"
Pakistan,Alternative & Renewable Energy Policy,"Solar, Wind"
Philippines,"Renewable Energy Act, Feed-in Tariffs","Solar, Wind, Biomass, Hydro"
Malaysia,"Feed-in Tariff System, Large Scale Solar (LSS)","Solar, Biomass"
Israel,"Feed-in Tariffs, Solar Rooftop Program",Solar
Singapore,"SolarNova Program, Accelerating Solar Deployment",Solar
New Zealand,"Emissions Trading Scheme, Various Grants","Wind, Geothermal"
Portugal,National Renewable Energy Action Plan,"Solar, Wind, Biomass, Hydro"
Greece,"Feed-in Tariffs, Renewable Energy Law","Solar, Wind, Biomass, Hydro"
Czech Republic,"Feed-in Tariffs, Green Savings Program","Solar, Wind, Biomass"
Hungary,METÁR System (Renewable Energy Support Scheme),"Solar, Wind, Biomass, Geothermal"
Romania,Green Certificate System,"Wind, Solar, Biomass, Hydro"
Finland,"Feed-in Tariffs, Energy Aid Scheme","Wind, Biomass, Hydro"
Denmark,"Feed-in Tariffs, Renewable Energy Act","Wind, Biomass"
Ireland,Renewable Electricity Support Scheme (RESS),"Solar, Wind, Biomass, Hydro"
Colombia,"Law 1715, Tax Incentives for Renewable Energy","Wind, Solar, Biomass, Hydro"
Bangladesh,Infrastructure Development Company Limited (IDCOL),"Solar, Biomass"
Ukraine,"Feed-in Tariffs, Green Tariff Law","Solar, Wind, Biomass, Hydro"
Peru,Renewable Energy Resource Auctions,"Wind, Solar, Biomass, Hydro"
Venezuela,National Renewable Energy Plan,"Wind, Solar"
Nigeria,"Feed-in Tariffs, Renewable Energy Master Plan","Solar, Biomass, Small Hydro"
